SVSPP,scientific_name,ITISSPP,NESPP3,SPECIES_ITIS,COMMON_NAME,SCIENTIFIC_NAME
NA,NA,NA,712,098679,"CRAB,ATLANTIC,ROCK",CANCER IRRORATUS
NA,NA,NA,823,066107,BLOODWORMS,GLYCERA DIBRANCHIATA
NA,NA,NA,727,097314,"LOBSTER,AMERICAN",HOMARUS AMERICANUS
NA,NA,NA,800,079718,"SCALLOP,SEA",PLACOPECTEN MAGELLANICUS
NA,NA,NA,803,082369,"SQUIDS,LOLIGINIDAE",LOLIGINIDAE
NA,NA,NA,447,168537,"TILEFISH,UNC",MALACANTHIDAE
NA,NA,NA,465,172418,"TUNA,UNC",THUNNUS
NA,NA,NA,359,159785,"SHARK,UNC",CHONDRICHTHYES
NA,NA,NA,421,161064,"STURGEONS,UNC",ACIPENSERIDAE
NA,NA,NA,736,096967,"SHRIMP,PANDALID",PANDALUS BOREALIS
NA,NA,NA,52,172568,"BUTTERFISH,GULF",PEPRILUS BURTI
NA,NA,NA,805,157968,SEA URCHINS,STRONGYLOCENTROTUS
NA,NA,NA,197,169273,KING WHITING,MENTICIRRHUS
NA,NA,NA,763,081692,"CLAM,SOFT",MYA ARENARIA
NA,NA,NA,710,620992,"CRAB,RED DEEPSEA",CHACEON QUINQUEDENS
NA,NA,NA,748,081496,"CLAM,NORTHERN QUAHOG",MERCENARIA MERCENARIA
NA,NA,NA,801,082372,"SQUID,LONG FINNED (LOLIGO)",LOLIGO PEALEII
NA,NA,NA,711,098678,"CRAB,JONAH",CANCER BOREALIS
NA,NA,NA,789,079872,"OYSTER,EASTERN",CRASSOSTREA VIRGINICA
NA,NA,NA,775,072554,SNAILS(CONCHS),STROMBIDAE
NA,NA,NA,769,080944,"CLAM,SURF",SPISULA SOLIDISSIMA
NA,NA,NA,802,082521,"SQUID,SHORT FINNED (ILLEX)",ILLEX ILLECEBROSUS
NA,NA,NA,506,167678,"PERCH,WHITE",MORONE AMERICANA
NA,NA,NA,781,079454,"MUSSEL,BLUE",MYTILUS EDULIS
NA,NA,NA,724,082703,"CRAB,HORSESHOE",LIMULUS POLYPHEMUS
NA,NA,NA,713,098276,"CRAB,UNC",BRACHYURA
NA,NA,NA,754,081343,"CLAM,OCEAN QUAHOG",ARCTICA ISLANDICA
